北京联通-组播1,#genre#
北京影视频道,http://123.118.54.253:8686/rtp/239.3.1.158:8000
北京文艺频道,http://123.118.54.253:8686/rtp/239.3.1.242:8000
北京财经频道,http://123.118.54.253:8686/rtp/239.3.1.116:8000
北京生活频道,http://123.118.54.253:8686/rtp/239.3.1.117:8000
北京纪实科教,http://123.118.54.253:8686/rtp/239.3.1.115:8000
北京卡酷少儿,http://123.118.54.253:8686/rtp/239.3.1.189:8000
北京体育休闲,http://123.118.54.253:8686/rtp/239.3.1.243:8000
北京国际频道,http://123.118.54.253:8686/rtp/239.3.1.235:8000
CCTV-1综合,http://123.118.54.253:8686/rtp/239.3.1.129:8008
CCTV-2财经,http://123.118.54.253:8686/rtp/239.3.1.60:8084
CCTV-3综艺,http://123.118.54.253:8686/rtp/239.3.1.172:8001
CCTV-4中文国际,http://123.118.54.253:8686/rtp/239.3.1.105:8092
CCTV-5体育,http://123.118.54.253:8686/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://123.118.54.253:8686/rtp/239.3.1.130:8004
CCTV-6电影,http://123.118.54.253:8686/rtp/239.3.1.174:8001
CCTV-7国防军事,http://123.118.54.253:8686/rtp/239.3.1.61:8104
CCTV-8电视剧,http://123.118.54.253:8686/rtp/239.3.1.175:8001
CCTV-9纪录,http://123.118.54.253:8686/rtp/239.3.1.62:8112
CCTV-10科教,http://123.118.54.253:8686/rtp/239.3.1.63:8116
CCTV-11戏曲,http://123.118.54.253:8686/rtp/239.3.1.152:8120
CCTV-12社会与法,http://123.118.54.253:8686/rtp/239.3.1.64:8124
CCTV-13新闻,http://123.118.54.253:8686/rtp/239.3.1.124:8128
CCTV-14少儿,http://123.118.54.253:8686/rtp/239.3.1.65:8132
CCTV-15音乐,http://123.118.54.253:8686/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://123.118.54.253:8686/rtp/239.3.1.184:8001
CCTV-17农业农村,http://123.118.54.253:8686/rtp/239.3.1.151:8144
湖南卫视,http://123.118.54.253:8686/rtp/239.3.1.132:8012
东方卫视,http://123.118.54.253:8686/rtp/239.3.1.136:8032
浙江卫视,http://123.118.54.253:8686/rtp/239.3.1.137:8036
江苏卫视,http://123.118.54.253:8686/rtp/239.3.1.135:8028
深圳卫视,http://123.118.54.253:8686/rtp/239.3.1.134:8020
广东卫视,http://123.118.54.253:8686/rtp/239.3.1.142:8048
安徽卫视,http://123.118.54.253:8686/rtp/239.3.1.211:8064
天津卫视,http://123.118.54.253:8686/rtp/239.3.1.141:1234
重庆卫视,http://123.118.54.253:8686/rtp/239.3.1.122:8160
山东卫视,http://123.118.54.253:8686/rtp/239.3.1.209:8052
河北卫视,http://123.118.54.253:8686/rtp/239.3.1.148:8072
辽宁卫视,http://123.118.54.253:8686/rtp/239.3.1.210:8056
湖北卫视,http://123.118.54.253:8686/rtp/239.3.1.138:8044
吉林卫视,http://123.118.54.253:8686/rtp/239.3.1.240:8172
贵州卫视,http://123.118.54.253:8686/rtp/239.3.1.149:8076
东南卫视,http://123.118.54.253:8686/rtp/239.3.1.156:8148
江西卫视,http://123.118.54.253:8686/rtp/239.3.1.123:8164
海南卫视,http://123.118.54.253:8686/rtp/239.3.1.45:8304
黑龙江卫视,http://123.118.54.253:8686/rtp/239.3.1.133:8016
云南卫视,http://123.118.54.253:8686/rtp/239.3.1.26:8108
四川卫视,http://123.118.54.253:8686/rtp/239.3.1.29:8288
宁夏卫视,http://123.118.54.253:8686/rtp/239.3.1.46:8124
山西卫视,http://123.118.54.253:8686/rtp/239.3.1.42:8172
广西卫视,http://123.118.54.253:8686/rtp/239.3.1.39:8300
新疆卫视,http://123.118.54.253:8686/rtp/239.3.1.48:8160
河南卫视,http://123.118.54.253:8686/rtp/239.3.1.27:8128
甘肃卫视,http://123.118.54.253:8686/rtp/239.3.1.49:8188
西藏卫视,http://123.118.54.253:8686/rtp/239.3.1.47:8164
陕西卫视,http://123.118.54.253:8686/rtp/239.3.1.41:8140
青海卫视,http://123.118.54.253:8686/rtp/239.3.1.44:8184
内蒙古卫视,http://123.118.54.253:8686/rtp/239.3.1.43:8176
三沙卫视,http://123.118.54.253:8686/rtp/239.3.1.155:4120
厦门卫视,http://123.118.54.253:8686/rtp/239.3.1.143:4120
兵团卫视,http://123.118.54.253:8686/rtp/239.3.1.144:4120
华数爱上4K,http://123.118.54.253:8686/rtp/239.3.1.236:2000
北京IPTV4K超清,http://123.118.54.253:8686/rtp/239.3.1.249:8001
北京IPTV淘电影,http://123.118.54.253:8686/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://123.118.54.253:8686/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://123.118.54.253:8686/rtp/239.3.1.100:8001
北京IPTV淘BABY,http://123.118.54.253:8686/rtp/239.3.1.238:8001
北京IPTV萌宠TV,http://123.118.54.253:8686/rtp/239.3.1.102:8001
CCTV-4欧洲,http://123.118.54.253:8686/rtp/239.3.1.213:4220
CCTV-4美洲,http://123.118.54.253:8686/rtp/239.3.1.214:4220
CGTN英语,http://123.118.54.253:8686/rtp/239.3.1.215:4220
CGTN纪录,http://123.118.54.253:8686/rtp/239.3.1.216:4220
CGTN西班牙语,http://123.118.54.253:8686/rtp/239.3.1.217:4220
CGTN法语,http://123.118.54.253:8686/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://123.118.54.253:8686/rtp/239.3.1.219:4220
CGTN俄语,http://123.118.54.253:8686/rtp/239.3.1.220:4220
CETV1,http://123.118.54.253:8686/rtp/239.3.1.57:8152
CETV2,http://123.118.54.253:8686/rtp/239.3.1.54:4120
CETV4,http://123.118.54.253:8686/rtp/239.3.1.56:4120
中国交通,http://123.118.54.253:8686/rtp/239.3.1.188:8001
朝阳融媒,http://123.118.54.253:8686/rtp/239.3.1.163:8001
通州融媒,http://123.118.54.253:8686/rtp/239.3.1.221:8001
房山电视台,http://123.118.54.253:8686/rtp/239.3.1.96:8001
密云电视台,http://123.118.54.253:8686/rtp/239.3.1.154:8001
延庆电视台,http://123.118.54.253:8686/rtp/239.3.1.187:8001
湖南金鹰纪实,http://123.118.54.253:8686/rtp/239.3.1.58:8156
湖南茶频道,http://123.118.54.253:8686/rtp/239.3.1.165:8001
湖南快乐垂钓,http://123.118.54.253:8686/rtp/239.3.1.164:8001
华数星影,http://123.118.54.253:8686/rtp/239.3.1.94:4120
华数动作影院,http://123.118.54.253:8686/rtp/239.3.1.92:4120
华数喜剧影院,http://123.118.54.253:8686/rtp/239.3.1.91:4120
华数家庭影院,http://123.118.54.253:8686/rtp/239.3.1.93:4120
华数精选,http://123.118.54.253:8686/rtp/239.3.1.74:4120
华数经典电影,http://123.118.54.253:8686/rtp/239.3.1.195:9024
华数热播剧场,http://123.118.54.253:8686/rtp/239.3.1.194:9020
华数军旅剧场,http://123.118.54.253:8686/rtp/239.3.1.68:4120
华数城市剧场,http://123.118.54.253:8686/rtp/239.3.1.67:4120
华数武侠剧场,http://123.118.54.253:8686/rtp/239.3.1.90:4120
华数魅力时尚,http://123.118.54.253:8686/rtp/239.3.1.196:9012
古装剧场,http://123.118.54.253:8686/rtp/239.3.1.69:4120
华数少儿动画,http://123.118.54.253:8686/rtp/239.3.1.199:9000
华数动画,http://123.118.54.253:8686/rtp/239.3.1.80:4120
金鹰卡通,http://123.118.54.253:8686/rtp/239.3.1.51:9252
嘉佳卡通,http://123.118.54.253:8686/rtp/239.3.1.147:9268
IPTV地理,http://123.118.54.253:8686/rtp/239.3.1.71:4120
IPTV10解密,http://123.118.54.253:8686/rtp/239.3.1.75:4120
IPTV7军事,http://123.118.54.253:8686/rtp/239.3.1.76:4120
IPTV台球,http://123.118.54.253:8686/rtp/239.3.1.85:4120
IPTV国学,http://123.118.54.253:8686/rtp/239.3.1.77:4120
IPTV墨宝,http://123.118.54.253:8686/rtp/239.3.1.83:4120
IPTV好学生,http://123.118.54.253:8686/rtp/239.3.1.81:4120
山东教育卫视,http://123.118.54.253:8686/rtp/239.3.1.52:4120
IPTV11戏曲,http://123.118.54.253:8686/rtp/239.3.1.78:4120
IPTV收视指南,http://123.118.54.253:8686/rtp/239.3.1.193:8012
IPTV14早教,http://123.118.54.253:8686/rtp/239.3.1.79:4120
IPTV武术,http://123.118.54.253:8686/rtp/239.3.1.87:4120
IPTV爱生活,http://123.118.54.253:8686/rtp/239.3.1.86:4120
IPTV美人,http://123.118.54.253:8686/rtp/239.3.1.73:4120
IPTV美妆,http://123.118.54.253:8686/rtp/239.3.1.72:4120
IPTV足球,http://123.118.54.253:8686/rtp/239.3.1.89:4120
IPTV鉴赏,http://123.118.54.253:8686/rtp/239.3.1.82:4120
IPTV15音乐现场,http://123.118.54.253:8686/rtp/239.3.1.70:4120
光影,http://123.118.54.253:8686/rtp/239.3.1.84:4120
睛彩竞技,http://123.118.54.253:8686/rtp/239.3.1.125:8001
睛彩篮球,http://123.118.54.253:8686/rtp/239.3.1.126:8001
睛彩羽毛球,http://123.118.54.253:8686/rtp/239.3.1.127:8001
睛彩广场舞,http://123.118.54.253:8686/rtp/239.3.1.128:8001
北京联通-组播5,#genre#
北京卫视,http://221.220.134.224:8012/rtp/239.3.1.241:8000
北京新闻频道,http://221.220.134.224:8012/rtp/239.3.1.159:8000
北京影视频道,http://221.220.134.224:8012/rtp/239.3.1.158:8000
北京文艺频道,http://221.220.134.224:8012/rtp/239.3.1.242:8000
北京财经频道,http://221.220.134.224:8012/rtp/239.3.1.116:8000
北京生活频道,http://221.220.134.224:8012/rtp/239.3.1.117:8000
北京纪实科教,http://221.220.134.224:8012/rtp/239.3.1.115:8000
北京卡酷少儿,http://221.220.134.224:8012/rtp/239.3.1.189:8000
北京体育休闲,http://221.220.134.224:8012/rtp/239.3.1.243:8000
北京国际频道,http://221.220.134.224:8012/rtp/239.3.1.235:8000
CCTV-1综合,http://221.220.134.224:8012/rtp/239.3.1.129:8008
CCTV-2财经,http://221.220.134.224:8012/rtp/239.3.1.60:8084
CCTV-3综艺,http://221.220.134.224:8012/rtp/239.3.1.172:8001
CCTV-4中文国际,http://221.220.134.224:8012/rtp/239.3.1.105:8092
CCTV-5体育,http://221.220.134.224:8012/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://221.220.134.224:8012/rtp/239.3.1.130:8004
CCTV-6电影,http://221.220.134.224:8012/rtp/239.3.1.174:8001
CCTV-7国防军事,http://221.220.134.224:8012/rtp/239.3.1.61:8104
CCTV-8电视剧,http://221.220.134.224:8012/rtp/239.3.1.175:8001
CCTV-9纪录,http://221.220.134.224:8012/rtp/239.3.1.62:8112
CCTV-10科教,http://221.220.134.224:8012/rtp/239.3.1.63:8116
CCTV-11戏曲,http://221.220.134.224:8012/rtp/239.3.1.152:8120
CCTV-12社会与法,http://221.220.134.224:8012/rtp/239.3.1.64:8124
CCTV-13新闻,http://221.220.134.224:8012/rtp/239.3.1.124:8128
CCTV-14少儿,http://221.220.134.224:8012/rtp/239.3.1.65:8132
CCTV-15音乐,http://221.220.134.224:8012/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://221.220.134.224:8012/rtp/239.3.1.184:8001
CCTV-17农业农村,http://221.220.134.224:8012/rtp/239.3.1.151:8144
湖南卫视,http://221.220.134.224:8012/rtp/239.3.1.132:8012
东方卫视,http://221.220.134.224:8012/rtp/239.3.1.136:8032
浙江卫视,http://221.220.134.224:8012/rtp/239.3.1.137:8036
江苏卫视,http://221.220.134.224:8012/rtp/239.3.1.135:8028
深圳卫视,http://221.220.134.224:8012/rtp/239.3.1.134:8020
广东卫视,http://221.220.134.224:8012/rtp/239.3.1.142:8048
安徽卫视,http://221.220.134.224:8012/rtp/239.3.1.211:8064
天津卫视,http://221.220.134.224:8012/rtp/239.3.1.141:1234
重庆卫视,http://221.220.134.224:8012/rtp/239.3.1.122:8160
山东卫视,http://221.220.134.224:8012/rtp/239.3.1.209:8052
河北卫视,http://221.220.134.224:8012/rtp/239.3.1.148:8072
辽宁卫视,http://221.220.134.224:8012/rtp/239.3.1.210:8056
湖北卫视,http://221.220.134.224:8012/rtp/239.3.1.138:8044
吉林卫视,http://221.220.134.224:8012/rtp/239.3.1.240:8172
贵州卫视,http://221.220.134.224:8012/rtp/239.3.1.149:8076
东南卫视,http://221.220.134.224:8012/rtp/239.3.1.156:8148
江西卫视,http://221.220.134.224:8012/rtp/239.3.1.123:8164
海南卫视,http://221.220.134.224:8012/rtp/239.3.1.45:8304
黑龙江卫视,http://221.220.134.224:8012/rtp/239.3.1.133:8016
云南卫视,http://221.220.134.224:8012/rtp/239.3.1.26:8108
四川卫视,http://221.220.134.224:8012/rtp/239.3.1.29:8288
宁夏卫视,http://221.220.134.224:8012/rtp/239.3.1.46:8124
山西卫视,http://221.220.134.224:8012/rtp/239.3.1.42:8172
广西卫视,http://221.220.134.224:8012/rtp/239.3.1.39:8300
新疆卫视,http://221.220.134.224:8012/rtp/239.3.1.48:8160
河南卫视,http://221.220.134.224:8012/rtp/239.3.1.27:8128
甘肃卫视,http://221.220.134.224:8012/rtp/239.3.1.49:8188
西藏卫视,http://221.220.134.224:8012/rtp/239.3.1.47:8164
陕西卫视,http://221.220.134.224:8012/rtp/239.3.1.41:8140
青海卫视,http://221.220.134.224:8012/rtp/239.3.1.44:8184
内蒙古卫视,http://221.220.134.224:8012/rtp/239.3.1.43:8176
三沙卫视,http://221.220.134.224:8012/rtp/239.3.1.155:4120
厦门卫视,http://221.220.134.224:8012/rtp/239.3.1.143:4120
兵团卫视,http://221.220.134.224:8012/rtp/239.3.1.144:4120
华数爱上4K,http://221.220.134.224:8012/rtp/239.3.1.236:2000
北京IPTV4K超清,http://221.220.134.224:8012/rtp/239.3.1.249:8001
北京IPTV淘电影,http://221.220.134.224:8012/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://221.220.134.224:8012/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://221.220.134.224:8012/rtp/239.3.1.100:8001
北京IPTV淘BABY,http://221.220.134.224:8012/rtp/239.3.1.238:8001
北京IPTV萌宠TV,http://221.220.134.224:8012/rtp/239.3.1.102:8001
CCTV-4欧洲,http://221.220.134.224:8012/rtp/239.3.1.213:4220
CCTV-4美洲,http://221.220.134.224:8012/rtp/239.3.1.214:4220
CGTN英语,http://221.220.134.224:8012/rtp/239.3.1.215:4220
CGTN纪录,http://221.220.134.224:8012/rtp/239.3.1.216:4220
CGTN西班牙语,http://221.220.134.224:8012/rtp/239.3.1.217:4220
CGTN法语,http://221.220.134.224:8012/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://221.220.134.224:8012/rtp/239.3.1.219:4220
CGTN俄语,http://221.220.134.224:8012/rtp/239.3.1.220:4220
CETV1,http://221.220.134.224:8012/rtp/239.3.1.57:8152
CETV2,http://221.220.134.224:8012/rtp/239.3.1.54:4120
CETV4,http://221.220.134.224:8012/rtp/239.3.1.56:4120
中国交通,http://221.220.134.224:8012/rtp/239.3.1.188:8001
朝阳融媒,http://221.220.134.224:8012/rtp/239.3.1.163:8001
通州融媒,http://221.220.134.224:8012/rtp/239.3.1.221:8001
房山电视台,http://221.220.134.224:8012/rtp/239.3.1.96:8001
密云电视台,http://221.220.134.224:8012/rtp/239.3.1.154:8001
延庆电视台,http://221.220.134.224:8012/rtp/239.3.1.187:8001
湖南金鹰纪实,http://221.220.134.224:8012/rtp/239.3.1.58:8156
湖南茶频道,http://221.220.134.224:8012/rtp/239.3.1.165:8001
湖南快乐垂钓,http://221.220.134.224:8012/rtp/239.3.1.164:8001
华数星影,http://221.220.134.224:8012/rtp/239.3.1.94:4120
华数动作影院,http://221.220.134.224:8012/rtp/239.3.1.92:4120
华数喜剧影院,http://221.220.134.224:8012/rtp/239.3.1.91:4120
华数家庭影院,http://221.220.134.224:8012/rtp/239.3.1.93:4120
华数精选,http://221.220.134.224:8012/rtp/239.3.1.74:4120
华数经典电影,http://221.220.134.224:8012/rtp/239.3.1.195:9024
华数热播剧场,http://221.220.134.224:8012/rtp/239.3.1.194:9020
华数军旅剧场,http://221.220.134.224:8012/rtp/239.3.1.68:4120
华数城市剧场,http://221.220.134.224:8012/rtp/239.3.1.67:4120
华数武侠剧场,http://221.220.134.224:8012/rtp/239.3.1.90:4120
华数魅力时尚,http://221.220.134.224:8012/rtp/239.3.1.196:9012
古装剧场,http://221.220.134.224:8012/rtp/239.3.1.69:4120
华数少儿动画,http://221.220.134.224:8012/rtp/239.3.1.199:9000
华数动画,http://221.220.134.224:8012/rtp/239.3.1.80:4120
金鹰卡通,http://221.220.134.224:8012/rtp/239.3.1.51:9252
嘉佳卡通,http://221.220.134.224:8012/rtp/239.3.1.147:9268
IPTV地理,http://221.220.134.224:8012/rtp/239.3.1.71:4120
IPTV10解密,http://221.220.134.224:8012/rtp/239.3.1.75:4120
IPTV7军事,http://221.220.134.224:8012/rtp/239.3.1.76:4120
IPTV台球,http://221.220.134.224:8012/rtp/239.3.1.85:4120
IPTV国学,http://221.220.134.224:8012/rtp/239.3.1.77:4120
IPTV墨宝,http://221.220.134.224:8012/rtp/239.3.1.83:4120
IPTV好学生,http://221.220.134.224:8012/rtp/239.3.1.81:4120
山东教育卫视,http://221.220.134.224:8012/rtp/239.3.1.52:4120
IPTV11戏曲,http://221.220.134.224:8012/rtp/239.3.1.78:4120
IPTV收视指南,http://221.220.134.224:8012/rtp/239.3.1.193:8012
IPTV14早教,http://221.220.134.224:8012/rtp/239.3.1.79:4120
IPTV武术,http://221.220.134.224:8012/rtp/239.3.1.87:4120
IPTV爱生活,http://221.220.134.224:8012/rtp/239.3.1.86:4120
IPTV美人,http://221.220.134.224:8012/rtp/239.3.1.73:4120
IPTV美妆,http://221.220.134.224:8012/rtp/239.3.1.72:4120
IPTV足球,http://221.220.134.224:8012/rtp/239.3.1.89:4120
IPTV鉴赏,http://221.220.134.224:8012/rtp/239.3.1.82:4120
IPTV15音乐现场,http://221.220.134.224:8012/rtp/239.3.1.70:4120
光影,http://221.220.134.224:8012/rtp/239.3.1.84:4120
睛彩竞技,http://221.220.134.224:8012/rtp/239.3.1.125:8001
睛彩篮球,http://221.220.134.224:8012/rtp/239.3.1.126:8001
睛彩羽毛球,http://221.220.134.224:8012/rtp/239.3.1.127:8001
睛彩广场舞,http://221.220.134.224:8012/rtp/239.3.1.128:8001
