浙江频道 2026/03/06 更新,#genre#
宁夏卫视,http://123.118.52.208:8686/rtp/239.3.1.46:8124
山西卫视,http://123.118.52.208:8686/rtp/239.3.1.42:8172
广西卫视,http://123.118.52.208:8686/rtp/239.3.1.39:8300
新疆卫视,http://123.118.52.208:8686/rtp/239.3.1.48:8160
河南卫视,http://123.118.52.208:8686/rtp/239.3.1.27:8128
甘肃卫视,http://123.118.52.208:8686/rtp/239.3.1.49:8188
西藏卫视,http://123.118.52.208:8686/rtp/239.3.1.47:8164
陕西卫视,http://123.118.52.208:8686/rtp/239.3.1.41:8140
青海卫视,http://123.118.52.208:8686/rtp/239.3.1.44:8184
内蒙古卫视,http://123.118.52.208:8686/rtp/239.3.1.43:8176
三沙卫视,http://123.118.52.208:8686/rtp/239.3.1.155:4120
厦门卫视,http://123.118.52.208:8686/rtp/239.3.1.143:4120
兵团卫视,http://123.118.52.208:8686/rtp/239.3.1.144:4120
华数爱上4K,http://123.118.52.208:8686/rtp/239.3.1.236:2000
北京IPTV4K超清,http://123.118.52.208:8686/rtp/239.3.1.249:8001
北京IPTV淘电影,http://123.118.52.208:8686/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://123.118.52.208:8686/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://123.118.52.208:8686/rtp/239.3.1.100:8001
北京IPTV淘BABY,http://123.118.52.208:8686/rtp/239.3.1.238:8001
北京IPTV萌宠TV,http://123.118.52.208:8686/rtp/239.3.1.102:8001
CCTV-4欧洲,http://123.118.52.208:8686/rtp/239.3.1.213:4220
CCTV-4美洲,http://123.118.52.208:8686/rtp/239.3.1.214:4220
CGTN英语,http://123.118.52.208:8686/rtp/239.3.1.215:4220
CGTN纪录,http://123.118.52.208:8686/rtp/239.3.1.216:4220
CGTN西班牙语,http://123.118.52.208:8686/rtp/239.3.1.217:4220
CGTN法语,http://123.118.52.208:8686/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://123.118.52.208:8686/rtp/239.3.1.219:4220
CGTN俄语,http://123.118.52.208:8686/rtp/239.3.1.220:4220
CETV1,http://123.118.52.208:8686/rtp/239.3.1.57:8152
CETV2,http://123.118.52.208:8686/rtp/239.3.1.54:4120
CETV4,http://123.118.52.208:8686/rtp/239.3.1.56:4120
中国交通,http://123.118.52.208:8686/rtp/239.3.1.188:8001
朝阳融媒,http://123.118.52.208:8686/rtp/239.3.1.163:8001
通州融媒,http://123.118.52.208:8686/rtp/239.3.1.221:8001
房山电视台,http://123.118.52.208:8686/rtp/239.3.1.96:8001
密云电视台,http://123.118.52.208:8686/rtp/239.3.1.154:8001
延庆电视台,http://123.118.52.208:8686/rtp/239.3.1.187:8001
湖南金鹰纪实,http://123.118.52.208:8686/rtp/239.3.1.58:8156
湖南茶频道,http://123.118.52.208:8686/rtp/239.3.1.165:8001
湖南快乐垂钓,http://123.118.52.208:8686/rtp/239.3.1.164:8001
华数星影,http://123.118.52.208:8686/rtp/239.3.1.94:4120
华数动作影院,http://123.118.52.208:8686/rtp/239.3.1.92:4120
华数喜剧影院,http://123.118.52.208:8686/rtp/239.3.1.91:4120
华数家庭影院,http://123.118.52.208:8686/rtp/239.3.1.93:4120
华数精选,http://123.118.52.208:8686/rtp/239.3.1.74:4120
华数经典电影,http://123.118.52.208:8686/rtp/239.3.1.195:9024
华数热播剧场,http://123.118.52.208:8686/rtp/239.3.1.194:9020
华数军旅剧场,http://123.118.52.208:8686/rtp/239.3.1.68:4120
华数城市剧场,http://123.118.52.208:8686/rtp/239.3.1.67:4120
华数武侠剧场,http://123.118.52.208:8686/rtp/239.3.1.90:4120
华数魅力时尚,http://123.118.52.208:8686/rtp/239.3.1.196:9012
古装剧场,http://123.118.52.208:8686/rtp/239.3.1.69:4120
华数少儿动画,http://123.118.52.208:8686/rtp/239.3.1.199:9000
华数动画,http://123.118.52.208:8686/rtp/239.3.1.80:4120
金鹰卡通,http://123.118.52.208:8686/rtp/239.3.1.51:9252
嘉佳卡通,http://123.118.52.208:8686/rtp/239.3.1.147:9268
IPTV地理,http://123.118.52.208:8686/rtp/239.3.1.71:4120
IPTV10解密,http://123.118.52.208:8686/rtp/239.3.1.75:4120
IPTV7军事,http://123.118.52.208:8686/rtp/239.3.1.76:4120
IPTV台球,http://123.118.52.208:8686/rtp/239.3.1.85:4120
IPTV国学,http://123.118.52.208:8686/rtp/239.3.1.77:4120
IPTV墨宝,http://123.118.52.208:8686/rtp/239.3.1.83:4120
IPTV好学生,http://123.118.52.208:8686/rtp/239.3.1.81:4120
山东教育卫视,http://123.118.52.208:8686/rtp/239.3.1.52:4120
IPTV11戏曲,http://123.118.52.208:8686/rtp/239.3.1.78:4120
IPTV收视指南,http://123.118.52.208:8686/rtp/239.3.1.193:8012
IPTV14早教,http://123.118.52.208:8686/rtp/239.3.1.79:4120
IPTV武术,http://123.118.52.208:8686/rtp/239.3.1.87:4120
IPTV爱生活,http://123.118.52.208:8686/rtp/239.3.1.86:4120
IPTV美人,http://123.118.52.208:8686/rtp/239.3.1.73:4120
IPTV美妆,http://123.118.52.208:8686/rtp/239.3.1.72:4120
IPTV足球,http://123.118.52.208:8686/rtp/239.3.1.89:4120
IPTV鉴赏,http://123.118.52.208:8686/rtp/239.3.1.82:4120
IPTV15音乐现场,http://123.118.52.208:8686/rtp/239.3.1.70:4120
光影,http://123.118.52.208:8686/rtp/239.3.1.84:4120
睛彩竞技,http://123.118.52.208:8686/rtp/239.3.1.125:8001
睛彩篮球,http://123.118.52.208:8686/rtp/239.3.1.126:8001
睛彩羽毛球,http://123.118.52.208:8686/rtp/239.3.1.127:8001
睛彩广场舞,http://123.118.52.208:8686/rtp/239.3.1.128:8001
北京联通-组播3,#genre#
北京卫视,http://114.254.82.51:4022/rtp/239.3.1.241:8000
北京新闻频道,http://114.254.82.51:4022/rtp/239.3.1.159:8000
北京影视频道,http://114.254.82.51:4022/rtp/239.3.1.158:8000
北京文艺频道,http://114.254.82.51:4022/rtp/239.3.1.242:8000
北京财经频道,http://114.254.82.51:4022/rtp/239.3.1.116:8000
北京生活频道,http://114.254.82.51:4022/rtp/239.3.1.117:8000
北京纪实科教,http://114.254.82.51:4022/rtp/239.3.1.115:8000
北京卡酷少儿,http://114.254.82.51:4022/rtp/239.3.1.189:8000
北京体育休闲,http://114.254.82.51:4022/rtp/239.3.1.243:8000
北京国际频道,http://114.254.82.51:4022/rtp/239.3.1.235:8000
CCTV-1综合,http://114.254.82.51:4022/rtp/239.3.1.129:8008
CCTV-2财经,http://114.254.82.51:4022/rtp/239.3.1.60:8084
CCTV-3综艺,http://114.254.82.51:4022/rtp/239.3.1.172:8001
CCTV-4中文国际,http://114.254.82.51:4022/rtp/239.3.1.105:8092
CCTV-5体育,http://114.254.82.51:4022/rtp/239.3.1.173:8001
CCTV-5+体育赛事,http://114.254.82.51:4022/rtp/239.3.1.130:8004
CCTV-6电影,http://114.254.82.51:4022/rtp/239.3.1.174:8001
CCTV-7国防军事,http://114.254.82.51:4022/rtp/239.3.1.61:8104
CCTV-8电视剧,http://114.254.82.51:4022/rtp/239.3.1.175:8001
CCTV-9纪录,http://114.254.82.51:4022/rtp/239.3.1.62:8112
CCTV-10科教,http://114.254.82.51:4022/rtp/239.3.1.63:8116
CCTV-11戏曲,http://114.254.82.51:4022/rtp/239.3.1.152:8120
CCTV-12社会与法,http://114.254.82.51:4022/rtp/239.3.1.64:8124
CCTV-13新闻,http://114.254.82.51:4022/rtp/239.3.1.124:8128
CCTV-14少儿,http://114.254.82.51:4022/rtp/239.3.1.65:8132
CCTV-15音乐,http://114.254.82.51:4022/rtp/239.3.1.153:8136
CCTV-16奥林匹克,http://114.254.82.51:4022/rtp/239.3.1.184:8001
CCTV-17农业农村,http://114.254.82.51:4022/rtp/239.3.1.151:8144
湖南卫视,http://114.254.82.51:4022/rtp/239.3.1.132:8012
东方卫视,http://114.254.82.51:4022/rtp/239.3.1.136:8032
浙江卫视,http://114.254.82.51:4022/rtp/239.3.1.137:8036
江苏卫视,http://114.254.82.51:4022/rtp/239.3.1.135:8028
深圳卫视,http://114.254.82.51:4022/rtp/239.3.1.134:8020
广东卫视,http://114.254.82.51:4022/rtp/239.3.1.142:8048
安徽卫视,http://114.254.82.51:4022/rtp/239.3.1.211:8064
天津卫视,http://114.254.82.51:4022/rtp/239.3.1.141:1234
重庆卫视,http://114.254.82.51:4022/rtp/239.3.1.122:8160
山东卫视,http://114.254.82.51:4022/rtp/239.3.1.209:8052
河北卫视,http://114.254.82.51:4022/rtp/239.3.1.148:8072
辽宁卫视,http://114.254.82.51:4022/rtp/239.3.1.210:8056
湖北卫视,http://114.254.82.51:4022/rtp/239.3.1.138:8044
吉林卫视,http://114.254.82.51:4022/rtp/239.3.1.240:8172
贵州卫视,http://114.254.82.51:4022/rtp/239.3.1.149:8076
东南卫视,http://114.254.82.51:4022/rtp/239.3.1.156:8148
江西卫视,http://114.254.82.51:4022/rtp/239.3.1.123:8164
海南卫视,http://114.254.82.51:4022/rtp/239.3.1.45:8304
黑龙江卫视,http://114.254.82.51:4022/rtp/239.3.1.133:8016
云南卫视,http://114.254.82.51:4022/rtp/239.3.1.26:8108
四川卫视,http://114.254.82.51:4022/rtp/239.3.1.29:8288
宁夏卫视,http://114.254.82.51:4022/rtp/239.3.1.46:8124
山西卫视,http://114.254.82.51:4022/rtp/239.3.1.42:8172
广西卫视,http://114.254.82.51:4022/rtp/239.3.1.39:8300
新疆卫视,http://114.254.82.51:4022/rtp/239.3.1.48:8160
河南卫视,http://114.254.82.51:4022/rtp/239.3.1.27:8128
甘肃卫视,http://114.254.82.51:4022/rtp/239.3.1.49:8188
西藏卫视,http://114.254.82.51:4022/rtp/239.3.1.47:8164
陕西卫视,http://114.254.82.51:4022/rtp/239.3.1.41:8140
青海卫视,http://114.254.82.51:4022/rtp/239.3.1.44:8184
内蒙古卫视,http://114.254.82.51:4022/rtp/239.3.1.43:8176
三沙卫视,http://114.254.82.51:4022/rtp/239.3.1.155:4120
厦门卫视,http://114.254.82.51:4022/rtp/239.3.1.143:4120
兵团卫视,http://114.254.82.51:4022/rtp/239.3.1.144:4120
华数爱上4K,http://114.254.82.51:4022/rtp/239.3.1.236:2000
北京IPTV4K超清,http://114.254.82.51:4022/rtp/239.3.1.249:8001
北京IPTV淘电影,http://114.254.82.51:4022/rtp/239.3.1.250:8001
北京IPTV淘剧场,http://114.254.82.51:4022/rtp/239.3.1.95:8001
北京IPTV淘娱乐,http://114.254.82.51:4022/rtp/239.3.1.100:8001
北京IPTV淘BABY,http://114.254.82.51:4022/rtp/239.3.1.238:8001
北京IPTV萌宠TV,http://114.254.82.51:4022/rtp/239.3.1.102:8001
CCTV-4欧洲,http://114.254.82.51:4022/rtp/239.3.1.213:4220
CCTV-4美洲,http://114.254.82.51:4022/rtp/239.3.1.214:4220
CGTN英语,http://114.254.82.51:4022/rtp/239.3.1.215:4220
CGTN纪录,http://114.254.82.51:4022/rtp/239.3.1.216:4220
CGTN西班牙语,http://114.254.82.51:4022/rtp/239.3.1.217:4220
CGTN法语,http://114.254.82.51:4022/rtp/239.3.1.218:4220
CGTN阿拉伯语,http://114.254.82.51:4022/rtp/239.3.1.219:4220
CGTN俄语,http://114.254.82.51:4022/rtp/239.3.1.220:4220
CETV1,http://114.254.82.51:4022/rtp/239.3.1.57:8152
CETV2,http://114.254.82.51:4022/rtp/239.3.1.54:4120
CETV4,http://114.254.82.51:4022/rtp/239.3.1.56:4120
中国交通,http://114.254.82.51:4022/rtp/239.3.1.188:8001
朝阳融媒,http://114.254.82.51:4022/rtp/239.3.1.163:8001
通州融媒,http://114.254.82.51:4022/rtp/239.3.1.221:8001
房山电视台,http://114.254.82.51:4022/rtp/239.3.1.96:8001
密云电视台,http://114.254.82.51:4022/rtp/239.3.1.154:8001
延庆电视台,http://114.254.82.51:4022/rtp/239.3.1.187:8001
湖南金鹰纪实,http://114.254.82.51:4022/rtp/239.3.1.58:8156
湖南茶频道,http://114.254.82.51:4022/rtp/239.3.1.165:8001
湖南快乐垂钓,http://114.254.82.51:4022/rtp/239.3.1.164:8001
华数星影,http://114.254.82.51:4022/rtp/239.3.1.94:4120
华数动作影院,http://114.254.82.51:4022/rtp/239.3.1.92:4120
华数喜剧影院,http://114.254.82.51:4022/rtp/239.3.1.91:4120
华数家庭影院,http://114.254.82.51:4022/rtp/239.3.1.93:4120
华数精选,http://114.254.82.51:4022/rtp/239.3.1.74:4120
华数经典电影,http://114.254.82.51:4022/rtp/239.3.1.195:9024
华数热播剧场,http://114.254.82.51:4022/rtp/239.3.1.194:9020
华数军旅剧场,http://114.254.82.51:4022/rtp/239.3.1.68:4120
华数城市剧场,http://114.254.82.51:4022/rtp/239.3.1.67:4120
华数武侠剧场,http://114.254.82.51:4022/rtp/239.3.1.90:4120
华数魅力时尚,http://114.254.82.51:4022/rtp/239.3.1.196:9012
古装剧场,http://114.254.82.51:4022/rtp/239.3.1.69:4120
华数少儿动画,http://114.254.82.51:4022/rtp/239.3.1.199:9000
华数动画,http://114.254.82.51:4022/rtp/239.3.1.80:4120
金鹰卡通,http://114.254.82.51:4022/rtp/239.3.1.51:9252
嘉佳卡通,http://114.254.82.51:4022/rtp/239.3.1.147:9268
IPTV地理,http://114.254.82.51:4022/rtp/239.3.1.71:4120
IPTV10解密,http://114.254.82.51:4022/rtp/239.3.1.75:4120
IPTV7军事,http://114.254.82.51:4022/rtp/239.3.1.76:4120
IPTV台球,http://114.254.82.51:4022/rtp/239.3.1.85:4120
IPTV国学,http://114.254.82.51:4022/rtp/239.3.1.77:4120
IPTV墨宝,http://114.254.82.51:4022/rtp/239.3.1.83:4120
IPTV好学生,http://114.254.82.51:4022/rtp/239.3.1.81:4120
山东教育卫视,http://114.254.82.51:4022/rtp/239.3.1.52:4120
IPTV11戏曲,http://114.254.82.51:4022/rtp/239.3.1.78:4120
IPTV收视指南,http://114.254.82.51:4022/rtp/239.3.1.193:8012
IPTV14早教,http://114.254.82.51:4022/rtp/239.3.1.79:4120
IPTV武术,http://114.254.82.51:4022/rtp/239.3.1.87:4120
IPTV爱生活,http://114.254.82.51:4022/rtp/239.3.1.86:4120
IPTV美人,http://114.254.82.51:4022/rtp/239.3.1.73:4120
IPTV美妆,http://114.254.82.51:4022/rtp/239.3.1.72:4120
IPTV足球,http://114.254.82.51:4022/rtp/239.3.1.89:4120
IPTV鉴赏,http://114.254.82.51:4022/rtp/239.3.1.82:4120
IPTV15音乐现场,http://114.254.82.51:4022/rtp/239.3.1.70:4120
光影,http://114.254.82.51:4022/rtp/239.3.1.84:4120
睛彩竞技,http://114.254.82.51:4022/rtp/239.3.1.125:8001
睛彩篮球,http://114.254.82.51:4022/rtp/239.3.1.126:8001
睛彩羽毛球,http://114.254.82.51:4022/rtp/239.3.1.127:8001
睛彩广场舞,http://114.254.82.51:4022/rtp/239.3.1.128:8001
四川电信-组播1,#genre#
四川电信-组播2,#genre#
四川电信-组播3,#genre#
浙江电信-组播1,#genre#
浙江电信-组播2,#genre#
浙江电信-组播3,#genre#
江苏电信-组播1,#genre#
江苏卫视,http://114.238.59.21:4000/rtp/239.49.8.138:6000
江苏城市频道,http://114.238.59.21:4000/rtp/239.49.8.107:8000
江苏综艺频道,http://114.238.59.21:4000/rtp/239.49.8.108:8000
江苏体育休闲,http://114.238.59.21:4000/rtp/239.49.8.117:8000
江苏影视频道,http://114.238.59.21:4000/rtp/239.49.8.118:8000
江苏优漫卡通,http://114.238.59.21:4000/rtp/239.49.8.119:8000
江苏新闻频道,http://114.238.59.21:4000/rtp/239.49.8.120:8000
江苏教育频道,http://114.238.59.21:4000/rtp/239.49.8.122:8000
江苏国际频道,http://114.238.59.21:4000/rtp/239.49.1.23:6000
江苏财富天下,http://114.238.59.21:4000/rtp/239.49.1.29:6000
CCTV-1综合,http://114.238.59.21:4000/rtp/239.49.8.129:6000
CCTV-2财经,http://114.238.59.21:4000/rtp/239.49.8.130:6000
CCTV-3综艺,http://114.238.59.21:4000/rtp/239.49.1.3:6000
CCTV-4中文国际,http://114.238.59.21:4000/rtp/239.49.8.131:6000
CCTV-5体育,http://114.238.59.21:4000/rtp/239.49.1.5:6000
CCTV-5+体育赛事,http://114.238.59.21:4000/rtp/239.49.8.18:9610
CCTV-6电影,http://114.238.59.21:4000/rtp/239.49.1.6:6000
CCTV-7国防军事,http://114.238.59.21:4000/rtp/239.49.1.254:6000
CCTV-8电视剧,http://114.238.59.21:4000/rtp/239.49.1.8:6000
CCTV-9纪录,http://114.238.59.21:4000/rtp/239.49.8.53:9814
CCTV-10科教,http://114.238.59.21:4000/rtp/239.49.8.134:6000
CCTV-11戏曲,http://114.238.59.21:4000/rtp/239.49.1.11:6000
CCTV-12社会与法,http://114.238.59.21:4000/rtp/239.49.8.135:6000
CCTV-13新闻,http://114.238.59.21:4000/rtp/239.49.1.13:6000
CCTV-14少儿,http://114.238.59.21:4000/rtp/239.49.8.136:6000
CCTV-15音乐,http://114.238.59.21:4000/rtp/239.49.1.15:6000
CCTV-17农业农村,http://114.238.59.21:4000/rtp/239.49.8.132:6000
浙江卫视,http://114.238.59.21:4000/rtp/239.49.8.139:6000
东方卫视,http://114.238.59.21:4000/rtp/239.49.8.140:6000
北京卫视,http://114.238.59.21:4000/rtp/239.49.8.141:6000
湖南卫视,http://114.238.59.21:4000/rtp/239.49.8.142:6000
广东卫视,http://114.238.59.21:4000/rtp/239.49.8.143:6000
深圳卫视,http://114.238.59.21:4000/rtp/239.49.8.145:6000
山东卫视,http://114.238.59.21:4000/rtp/239.49.8.146:6000
湖北卫视,http://114.238.59.21:4000/rtp/239.49.8.147:6000
天津卫视,http://114.238.59.21:4000/rtp/239.49.8.148:6000
河北卫视,http://114.238.59.21:4000/rtp/239.49.8.188:6000
安徽卫视,http://114.238.59.21:4000/rtp/239.49.8.204:6000
江西卫视,http://114.238.59.21:4000/rtp/239.49.8.185:6000
重庆卫视,http://114.238.59.21:4000/rtp/239.49.8.149:6000
黑龙江卫视,http://114.238.59.21:4000/rtp/239.49.8.144:6000
吉林卫视,http://114.238.59.21:4000/rtp/239.49.1.49:6000
青海卫视,http://114.238.59.21:4000/rtp/239.49.1.53:6000
辽宁卫视,http://114.238.59.21:4000/rtp/239.49.1.35:6000
广西卫视,http://114.238.59.21:4000/rtp/239.49.1.40:6000
海南卫视,http://114.238.59.21:4000/rtp/239.49.1.41:6000
四川卫视,http://114.238.59.21:4000/rtp/239.49.1.43:6000
河南卫视,http://114.238.59.21:4000/rtp/239.49.1.44:6000
东南卫视,http://114.238.59.21:4000/rtp/239.49.1.45:6000
山西卫视,http://114.238.59.21:4000/rtp/239.49.1.51:6000
贵州卫视,http://114.238.59.21:4000/rtp/239.49.1.52:6000
云南卫视,http://114.238.59.21:4000/rtp/239.49.1.235:6000
南京新闻综合,http://114.238.59.21:4000/rtp/239.49.0.25:8192
南京科教频道,http://114.238.59.21:4000/rtp/239.49.0.183:9434
南京生活频道,http://114.238.59.21:4000/rtp/239.49.0.26:8200
GCTN英语,http://114.238.59.21:4000/rtp/239.49.0.9:8064
CCTV-1综合,http://114.238.59.21:4000/rtp/239.49.8.19:9614
CCTV-2财经,http://114.238.59.21:4000/rtp/239.49.8.50:9802
CCTV-10科教,http://114.238.59.21:4000/rtp/239.49.8.54:9818
CCTV-12社会与法,http://114.238.59.21:4000/rtp/239.49.8.55:9822
CCTV-14少儿,http://114.238.59.21:4000/rtp/239.49.8.56:9826
CCTV-17农业农村,http://114.238.59.21:4000/rtp/239.49.8.52:9810
江苏卫视,http://114.238.59.21:4000/rtp/239.49.8.16:9602
湖南卫视,http://114.238.59.21:4000/rtp/239.49.8.12:9418
浙江卫视,http://114.238.59.21:4000/rtp/239.49.8.20:9618
北京卫视,http://114.238.59.21:4000/rtp/239.49.8.11:9414
东方卫视,http://114.238.59.21:4000/rtp/239.49.8.17:9606
广东卫视,http://114.238.59.21:4000/rtp/239.49.8.13:9422
山东卫视,http://114.238.59.21:4000/rtp/239.49.8.7:9306
深圳卫视,http://114.238.59.21:4000/rtp/239.49.8.15:9430
重庆卫视,http://114.238.59.21:4000/rtp/239.49.8.57:9830
辽宁卫视,http://114.238.59.21:4000/rtp/239.49.8.48:8000
黑龙江卫视,http://114.238.59.21:4000/rtp/239.49.8.14:9426
湖北卫视,http://114.238.59.21:4000/rtp/239.49.8.8:9632
天津卫视,http://114.238.59.21:4000/rtp/239.49.8.35:8620
江苏电信-组播2,#genre#
江苏卫视,http://114.226.212.155:8787/rtp/239.49.8.138:6000
江苏城市频道,http://114.226.212.155:8787/rtp/239.49.8.107:8000
江苏综艺频道,http://114.226.212.155:8787/rtp/239.49.8.108:8000
江苏体育休闲,http://114.226.212.155:8787/rtp/239.49.8.117:8000
江苏影视频道,http://114.226.212.155:8787/rtp/239.49.8.118:8000
江苏优漫卡通,http://114.226.212.155:8787/rtp/239.49.8.119:8000
江苏新闻频道,http://114.226.212.155:8787/rtp/239.49.8.120:8000
江苏教育频道,http://114.226.212.155:8787/rtp/239.49.8.122:8000
江苏国际频道,http://114.226.212.155:8787/rtp/239.49.1.23:6000
江苏财富天下,http://114.226.212.155:8787/rtp/239.49.1.29:6000
CCTV-1综合,http://114.226.212.155:8787/rtp/239.49.8.129:6000
CCTV-2财经,http://114.226.212.155:8787/rtp/239.49.8.130:6000
CCTV-3综艺,http://114.226.212.155:8787/rtp/239.49.1.3:6000
CCTV-4中文国际,http://114.226.212.155:8787/rtp/239.49.8.131:6000
CCTV-5体育,http://114.226.212.155:8787/rtp/239.49.1.5:6000
CCTV-5+体育赛事,http://114.226.212.155:8787/rtp/239.49.8.18:9610
CCTV-6电影,http://114.226.212.155:8787/rtp/239.49.1.6:6000
CCTV-7国防军事,http://114.226.212.155:8787/rtp/239.49.1.254:6000
CCTV-8电视剧,http://114.226.212.155:8787/rtp/239.49.1.8:6000
CCTV-9纪录,http://114.226.212.155:8787/rtp/239.49.8.53:9814
CCTV-10科教,http://114.226.212.155:8787/rtp/239.49.8.134:6000
CCTV-11戏曲,http://114.226.212.155:8787/rtp/239.49.1.11:6000
CCTV-12社会与法,http://114.226.212.155:8787/rtp/239.49.8.135:6000
CCTV-13新闻,http://114.226.212.155:8787/rtp/239.49.1.13:6000
CCTV-14少儿,http://114.226.212.155:8787/rtp/239.49.8.136:6000
CCTV-15音乐,http://114.226.212.155:8787/rtp/239.49.1.15:6000
CCTV-17农业农村,http://114.226.212.155:8787/rtp/239.49.8.132:6000
浙江卫视,http://114.226.212.155:8787/rtp/239.49.8.139:6000
东方卫视,http://114.226.212.155:8787/rtp/239.49.8.140:6000
北京卫视,http://114.226.212.155:8787/rtp/239.49.8.141:6000
湖南卫视,http://114.226.212.155:8787/rtp/239.49.8.142:6000
广东卫视,http://114.226.212.155:8787/rtp/239.49.8.143:6000
深圳卫视,http://114.226.212.155:8787/rtp/239.49.8.145:6000
山东卫视,http://114.226.212.155:8787/rtp/239.49.8.146:6000
湖北卫视,http://114.226.212.155:8787/rtp/239.49.8.147:6000
天津卫视,http://114.226.212.155:8787/rtp/239.49.8.148:6000
河北卫视,http://114.226.212.155:8787/rtp/239.49.8.188:6000
安徽卫视,http://114.226.212.155:8787/rtp/239.49.8.204:6000
江西卫视,http://114.226.212.155:8787/rtp/239.49.8.185:6000
重庆卫视,http://114.226.212.155:8787/rtp/239.49.8.149:6000
黑龙江卫视,http://114.226.212.155:8787/rtp/239.49.8.144:6000
吉林卫视,http://114.226.212.155:8787/rtp/239.49.1.49:6000
青海卫视,http://114.226.212.155:8787/rtp/239.49.1.53:6000
辽宁卫视,http://114.226.212.155:8787/rtp/239.49.1.35:6000
广西卫视,http://114.226.212.155:8787/rtp/239.49.1.40:6000
海南卫视,http://114.226.212.155:8787/rtp/239.49.1.41:6000
四川卫视,http://114.226.212.155:8787/rtp/239.49.1.43:6000
河南卫视,http://114.226.212.155:8787/rtp/239.49.1.44:6000
东南卫视,http://114.226.212.155:8787/rtp/239.49.1.45:6000
山西卫视,http://114.226.212.155:8787/rtp/239.49.1.51:6000
贵州卫视,http://114.226.212.155:8787/rtp/239.49.1.52:6000
云南卫视,http://114.226.212.155:8787/rtp/239.49.1.235:6000
南京新闻综合,http://114.226.212.155:8787/rtp/239.49.0.25:8192
南京科教频道,http://114.226.212.155:8787/rtp/239.49.0.183:9434
南京生活频道,http://114.226.212.155:8787/rtp/239.49.0.26:8200
GCTN英语,http://114.226.212.155:8787/rtp/239.49.0.9:8064
CCTV-1综合,http://114.226.212.155:8787/rtp/239.49.8.19:9614
CCTV-2财经,http://114.226.212.155:8787/rtp/239.49.8.50:9802
CCTV-10科教,http://114.226.212.155:8787/rtp/239.49.8.54:9818
CCTV-12社会与法,http://114.226.212.155:8787/rtp/239.49.8.55:9822
CCTV-14少儿,http://114.226.212.155:8787/rtp/239.49.8.56:9826
CCTV-17农业农村,http://114.226.212.155:8787/rtp/239.49.8.52:9810
江苏卫视,http://114.226.212.155:8787/rtp/239.49.8.16:9602
湖南卫视,http://114.226.212.155:8787/rtp/239.49.8.12:9418
浙江卫视,http://114.226.212.155:8787/rtp/239.49.8.20:9618
北京卫视,http://114.226.212.155:8787/rtp/239.49.8.11:9414
东方卫视,http://114.226.212.155:8787/rtp/239.49.8.17:9606
广东卫视,http://114.226.212.155:8787/rtp/239.49.8.13:9422
山东卫视,http://114.226.212.155:8787/rtp/239.49.8.7:9306
深圳卫视,http://114.226.212.155:8787/rtp/239.49.8.15:9430
重庆卫视,http://114.226.212.155:8787/rtp/239.49.8.57:9830
辽宁卫视,http://114.226.212.155:8787/rtp/239.49.8.48:8000
黑龙江卫视,http://114.226.212.155:8787/rtp/239.49.8.14:9426
湖北卫视,http://114.226.212.155:8787/rtp/239.49.8.8:9632
天津卫视,http://114.226.212.155:8787/rtp/239.49.8.35:8620
江苏电信-组播3,#genre#
江苏卫视,http://114.226.212.156:8787/rtp/239.49.8.138:6000
江苏城市频道,http://114.226.212.156:8787/rtp/239.49.8.107:8000
江苏综艺频道,http://114.226.212.156:8787/rtp/239.49.8.108:8000
江苏体育休闲,http://114.226.212.156:8787/rtp/239.49.8.117:8000
江苏影视频道,http://114.226.212.156:8787/rtp/239.49.8.118:8000
江苏优漫卡通,http://114.226.212.156:8787/rtp/239.49.8.119:8000
江苏新闻频道,http://114.226.212.156:8787/rtp/239.49.8.120:8000
江苏教育频道,http://114.226.212.156:8787/rtp/239.49.8.122:8000
江苏国际频道,http://114.226.212.156:8787/rtp/239.49.1.23:6000
江苏财富天下,http://114.226.212.156:8787/rtp/239.49.1.29:6000
CCTV-1综合,http://114.226.212.156:8787/rtp/239.49.8.129:6000
CCTV-2财经,http://114.226.212.156:8787/rtp/239.49.8.130:6000
CCTV-3综艺,http://114.226.212.156:8787/rtp/239.49.1.3:6000
CCTV-4中文国际,http://114.226.212.156:8787/rtp/239.49.8.131:6000
CCTV-5体育,http://114.226.212.156:8787/rtp/239.49.1.5:6000
CCTV-5+体育赛事,http://114.226.212.156:8787/rtp/239.49.8.18:9610
CCTV-6电影,http://114.226.212.156:8787/rtp/239.49.1.6:6000
CCTV-7国防军事,http://114.226.212.156:8787/rtp/239.49.1.254:6000
CCTV-8电视剧,http://114.226.212.156:8787/rtp/239.49.1.8:6000
CCTV-9纪录,http://114.226.212.156:8787/rtp/239.49.8.53:9814
CCTV-10科教,http://114.226.212.156:8787/rtp/239.49.8.134:6000
CCTV-11戏曲,http://114.226.212.156:8787/rtp/239.49.1.11:6000
CCTV-12社会与法,http://114.226.212.156:8787/rtp/239.49.8.135:6000
CCTV-13新闻,http://114.226.212.156:8787/rtp/239.49.1.13:6000
CCTV-14少儿,http://114.226.212.156:8787/rtp/239.49.8.136:6000
